Component,Component,Test Case,TC Identifier,Test Type,Estimated Duration (min),Priority,Pass/Fail,LPS Ticket,Tester,Date,Test Name
Bundle Blacklist,Bundle Blacklist,,,,,,,,,,
Bundle Blacklist,,Test Group 1 - Blacklisting Modules,,,,,,,,,
Bundle Blacklist,,Add LPKGs module to Blacklist through System Setting (UI),1a,Functional,,5,,,,,BundleBlacklist#BlacklistModuleLPKG
Bundle Blacklist,,Add module JARs to Blacklist through System Setting (UI),1b,Functional,,5,,,,,BundleBlacklist#BlacklistModuleJar
Bundle Blacklist,,Add WARs file to Blacklist through System Setting (UI),1c,Functional,,4,,,,,BundleBlacklist#BlacklistModuleWar
Bundle Blacklist,,Remove module from the blacklist through System Settings (UI),1d,Functional,,5,,,,,BundleBlacklist#RemoveModuleFromBlacklist
Bundle Blacklist,,Add module to blacklist through OSGi config file at runtime,1e,Manual,,5,,,,,https://issues.liferay.com/browse/LRQA-53831
Bundle Blacklist,,Remove module from the blacklist through OSGi config file at runtime,1f,Manual,,5,,,,,https://issues.liferay.com/browse/LRQA-53832
Bundle Blacklist,,Add and remove module between restarts,1g,Integration,-,4,,,,,BundleBlacklistTest#testAddToAndRemoveFromBlacklist
Bundle Blacklist,,Delete configuration file from the OSGi configs folder at runtime,1h,Manual,,4,,,,,https://issues.liferay.com/browse/LRQA-53833
Bundle Blacklist,,Shutdown and delete configuration file from the OSGi configs folder,1i,Integration,-,4,,,,,BundleBlacklistVerifyReinstalledTest
Bundle Blacklist,,Export bundle blacklist config file into OSGi configs folder,1j,Manual,,4,,,,,https://issues.liferay.com/browse/LRQA-53834
Bundle Blacklist,,Reinstall all blacklisted modules,1k,Manual,,3,,,,,
Bundle Blacklist,,Test Group 2 - Blacklisting Components,,,,,,,,,
Bundle Blacklist,,Add component to blacklist through System Settings (UI),2a,Functional,,4,,,,,BundleBlacklist#BlacklistComponent
Bundle Blacklist,,Remove component from the blacklist through System Settings (UI),2b,Manual,,3,,,,,
Bundle Blacklist,,Add component to blacklist through OSGi configs file,2c,Manual,,4,,,,,https://issues.liferay.com/browse/LRQA-53835
Bundle Blacklist,,Remove component from blacklist through OSGi configs file,2d,Manual,,3,,,,,
Bundle Blacklist,,Delete component blacklist config file OSGi configs folder,2e,Manual,,3,,,,,
Bundle Blacklist,,Shutdown and delete component blacklist config file from OSGi configs folder,2f,Manual,,3,,,,,
Bundle Blacklist,,Export component blacklist config file into OSGi configs folder,2h,Manual,,3,,,,,
Clustering,Clustering,,,,,,,,,,
Clustering,,Test Group 1 - Cluster Link,,,,,,,,,
Clustering,,Portal Properties(cluster.link.enabled),1a,Functional,-,5,,,,,ClusteringLink#ClusteringLinkPortalProperties
Clustering,,Portal Properties(cluster.link.channel.name),1b,Functional,-,4,,,,,ClusteringLink#ClusteringLinkPortalProperties
Clustering,,Portal Properties(cluster.link.channel.properties),1c,Functional,-,4,,,,,ClusteringLink#ClusteringLinkPortalProperties
Clustering,,Portal Properties(cluster.link.autodetect.address),1d,Functional,-,4,,,,,ClusteringLink#ClusteringLinkPortalProperties
Clustering,,Topology Structure 1,1e,Manual,30,3,,,,,
Clustering,,Topology Structure 2,1f,Manual,30,3,,,,,
Clustering,,Invoke Methods 1 (Invoke methods in portal kernel),1g,Manual,35,3,,,,,
Clustering,,Invoke Methods 2 (Invoke methods in modules),1h,Manual,35,3,,,,,
Clustering,,Invoke Methods 3 (Invoke methods of portal kernel on master),1i,Manual,35,3,,,,,
Clustering,,Invoke Methods 4 (Invoke methods of modules on master),1j,Manual,30,3,,,,,
Clustering,,Test Group 2 - Cluster + Cache Replication,,,,,,,,,
Clustering,,Replicate by copy,2a,Manual,35,3,,,,,https://issues.liferay.com/browse/LRQA-42939
Clustering,,Replicate by remove,2b,Manual,35,3,,,,,https://issues.liferay.com/browse/LRQA-42944
Clustering,,Do not replicate put,2c,Manual,35,3,,,,,
Clustering,,Test Group 3 - REMOVED,,,,,,,,,
Clustering,,Test Group 4 - Cluster + Scheduler,,,,,,,,,
Clustering,,Persistent jobs,4a,Manual,30,4,,,,,https://issues.liferay.com/browse/LRQA-53828
Clustering,,Memory clustered jobs 1,4b,Manual,30,4,,,,,https://issues.liferay.com/browse/LRQA-42947
Clustering,,Memory clustered jobs 2,4c,Manual,30,3,,,,,Not automatable
Clustering,,Memory jobs,4d,Manual,30,3,,,,,
Clustering,,Test Group 5 - Cluster + Live Users,,,,,,,,,
Clustering,,Live Users,5a,Functional,-,4,,,,,Clustering#ValidateLiveUsers
Clustering,,Test Group 6 - Cluster + Search,,,,,,,,,
Clustering,,INCOMPLETE Search,6,Manual,,2,,,,,
Clustering,,Test Group 7 - Cluster + OSGi Bundle Configuration,,,,,,,,,
Clustering,,INCOMPLETE OSGi Bundle Configuration,7,Manual,,2,,,,,
Clustering,,Test Group 8 - Cluster + Missing Plugins,,,,,,,,,
Clustering,,Cache replication by copy,8a,Functional,-,4,,,,,ClusteringMissingPlugins#CacheReplicationbyCopy
Clustering,,Scheduler 1,8c,Functional,-,4,,,,,ClusteringMissingPlugins#ScheduleJobOnClusterNode1
Clustering,,Scheduler 2,8d,Functional,-,4,,,,,ClusteringMissingPlugins#ScheduleJobOnAllClusterNodes
Clustering,,Test Group 9 - JGroups Configs,,,,,,,,,
Clustering,,JDBC_PING,9a,Functional,25,5,,,,,ClusteringConfigs#StartupJDBCPING 
Clustering,,UDP,9b,Manual,25,3,,,,,
Clustering,,TCP,9c,Manual,25,3,,,,,
Clustering,,TCP_PING,9d,Manual,25,3,,,,,
Clustering,,Test Group 10 - Session Replication,,,,,,,,,
Clustering,,Session replicated between nodes (LPS-72911),10a,Manual,,3,,,,,
Clustering,,Shutdown module during replicated session (LPS-73732),10b,Manual,,3,,,,,
Clustering,,Test Group 11 - Startup Scenarios,,,,,,,,,
Clustering,,Servers with existing osgi/state (LPS-90295),11a,Manual,,4,,,,,
Clustering,,Test Group 12 - Portal Database Content,,,,,,,,,
Clustering,,Add and Delete Blog Entries on different nodes,12a,Functional,,4,,,,,Clustering#AddAndDeleteBlogEntriesOnSeparateNodes
Clustering,,View Document on different nodes,12b,Functional,,4,,,,,Clustering#ValidateDocumentOnSeparateNodes
Config Admin,Config Admin,,,,,,,,,,
Config Admin,,Test Group 1 - Database (Persistence),,,,,,,,,
Config Admin,,Confirm bundle activator registration,1a,Integration,-,,,,,,ConfigurationPersistenceManagerTest#testConfigurationPersistenceManager
Config Admin,,Assert methods with Factory Configuration,1b,Integration,-,,,,,,ConfigurationPersistenceManagerTest#testCreateFactoryConfiguration
Config Admin,,Exists,1c,Integration,-,,,,,,ConfigurationPersistenceManagerTest#testExists
Config Admin,,Get Configuration,1d,Integration,-,,,,,,ConfigurationPersistenceManagerTest#testGetConfiguration
Config Admin,,Test Group 2 - Migration tool warnings,,,,,,,,,
Config Admin,,Migration Tool warning system for portal property,2a,Integration,-,,,,,,VerifyProperties#testModularizedPortalKeys
Config Admin,,Migration Tool warning system for system property,2b,Manual,,3,,,,,
Config Admin,,Test Group 3 - Configuration Extender,,,,,,,,,
Config Admin,,Factory Configuration,3a,Integration,-,,,,,,ConfiguratorExtenderTest#testFactoryConfiguration
Config Admin,,Factory configuration when another configuration is created,3b,Integration,-,,,,,,ConfiguratorExtenderTest#testFactoryConfigurationCreatesAnother
Config Admin,,Factory configuration with clashing factoryPid,3c,Integration,-,,,,,,ConfiguratorExtenderTest#testFactoryConfigurationWithClashingFactoryPid
Config Admin,,Factory configuration with clashing multiple contents,3d,Integration,-,,,,,,ConfiguratorExtenderTest#testFactoryConfigurationWithClashingMultipleContents
