Component,Component,Test Case,TC Identifier,Test Type,Estimated Duration (min),Priority,Pass/Fail,LPS Ticket,Tester,Date,Test Name,Test Steps
Bundle Blacklist,Bundle Blacklist,,,,,,,,,,,
Bundle Blacklist,,Test Group 1 - Blacklisting Modules,,,,,,,,,,
Bundle Blacklist,,Add LPKGs module to Blacklist through System Setting (UI),1a,Functional,,5,,,,,BundleBlacklist#BlacklistModuleLPKG,"1. Start up a clean Liferay portal bundle (You may want to generate lpkg for the module you want to blacklist if you are not using the release bundle.)
2. Go to [Liferay_home]/osgi/marketplace
3. Find  the LPKG that will be added to the blacklist 
4. Get “App title"" from the name of the the LPKG file  
5. Go to Control Panel > Configuration > System Settings > Module Container > Bundle Blacklist
6. Enter App title into blacklist symbolic name field
7. Save
8. Verify the module is blacklisted in the console 
9. Assert module is STOPPED in the console"
Bundle Blacklist,,Add module JARs to Blacklist through System Setting (UI),1b,Functional,,5,,,,,BundleBlacklist#BlacklistModuleJar,"1. Start up a clean Liferay portal bundle
2. Go to [Liferay_home]/osgi/modules 
3. Find  the module jar that will be added to the blacklist
4. Open and find Bundle-SymbolicName in bnd.bnd or MANIFEST.MF file
5. Copy the bundle symbolic name
6. Go to Control Panel > Configuration > System Settings > Module Container > Bundle Blacklist
7. Enter Bundle-SymbolicName into blacklist symbolic name field
8. Save
9. Verify the module is blacklisted in the console
10. Assert module is STOPPED in the console"
Bundle Blacklist,,Add WARs file to Blacklist through System Setting (UI),1c,Functional,,4,,,,,BundleBlacklist#BlacklistModuleWar,"1. Start up a clean Liferay portal bundle
2. Get the WAR file  that will be added to the blacklist
3. Open and find Servlet context name in liferay-plugin-package.properties file 
4. Copy the  Servlet context name
5. Go to Control Panel > Configuration > System Settings > Module Container > Bundle Blacklist
6. Enter  Servlet context name or WAR file name (minus .war) into blacklist symbolic name field if there is no servlet context name property
7. Save
8. Verify the module is blacklisted in the console
9. Assert module is STOPPED in the console"
Bundle Blacklist,,Remove module from the blacklist through System Settings (UI),1d,Functional,,5,,,,,BundleBlacklist#RemoveModuleFromBlacklist,"1. Go to  Control Panel > Configuration > System Settings > Module Container > Bundle Blacklist
2. Enter bundle symbolic name in the name field
3. Save bundle blacklist configuration
4. Verify the module is blacklisted in the console (uninstalled)
5. Go to  Control Panel > Configuration > System Settings > Module Container > Bundle Blacklist
6. Remove module from blacklist
7. Verify the module is not blacklisted in the console (reinstalled)
8. Assert module is Reinstalling bundle in the console
9. Assert module is STARTED in the console


        Note: The module(s) will be blacklisted again on future restart as this is a temporarily change"
Bundle Blacklist,,Add module to blacklist through OSGi config file at runtime,1e,Manual,,5,,,,,https://issues.liferay.com/browse/LRQA-53831,"1. Start the portal server
2. Go to [liferay_home]/osgi/configs
3. Create config file:
com.liferay.portal.bundle.blacklist.internal.BundleBlacklistConfiguration.config
4. Open the configuration file: com.liferay.portal.bundle.blacklist.internal.BundleBlacklistConfiguration.config
5. Add the bundle symbolic names of any modules that you want to blacklist
6. Save the config file
7. Verify the module is blacklisted in the console (uninstalled)
8. Assert module is STOPPED in the console"
Bundle Blacklist,,Remove module from the blacklist through OSGi config file at runtime,1f,Manual,,5,,,,,https://issues.liferay.com/browse/LRQA-53832,"1. Execute 1e
2. Remove the symbolic names of the module(s) you want to install from the blacklist config file
3. Save the configuration
4. Verify the module is not blacklisted in the console (reinstalled)
5. Assert module is Reinstalling bundle in the console
6. Assert module is STARTED in the console"
Bundle Blacklist,,Add and remove module between restarts,1g,Integration,-,4,,,,,BundleBlacklistTest#testAddToAndRemoveFromBlacklist,1. Execute 1e and 1f with the server shutdown during the adding and removing of the blacklist config file
Bundle Blacklist,,Delete configuration file from the OSGi configs folder at runtime,1h,Manual,,4,,,,,https://issues.liferay.com/browse/LRQA-53833,"1. Execute 1e
2. Delete configuration file from 1e
3. Verify the modules are not blacklisted in the console (reinstalled)
4. Assert module is Reinstalling bundle in the console
5. Assert module is STARTED in the console"
Bundle Blacklist,,Shutdown and delete configuration file from the OSGi configs folder,1i,Integration,-,4,,,,,BundleBlacklistVerifyReinstalledTest,"1. Execute 1e
2. Shutdown the liferay portal server
3. Delete configuration file from 1e
4. Restart the liferay portal server
5. Verify the modules are not blacklisted in the console (reinstalled)
6. Assert module is Reinstalling bundle in the console
7. Assert module is STARTED in the console"
Bundle Blacklist,,Export bundle blacklist config file into OSGi configs folder,1j,Manual,,4,,,,,https://issues.liferay.com/browse/LRQA-53834,"1. Execute steps 1d (1 - 4) 
2. Export: com.liferay.portal.bundle.blacklist.internal.BundleBlacklistConfiguration.config
3. Assert configuration file is exported
4. Copy into [liferay_home]/osgi/configs: com.liferay.portal.bundle.blacklist.internal.BundleBlacklistConfiguration.config
5. Verify the module is still blacklisted in the console
6. Assert module is STOPPED in the console"
Bundle Blacklist,,Reinstall all blacklisted modules,1k,Manual,,3,,,,,,"1. Execute steps 1d (1 - 4)
2. Go to Control Panel > App Manager
3. Search for “com.liferay.portal.bundle.blacklist” and uninstall
4. Assert all the blacklisted modules are reinstalled
5. Assert no console log error"
Bundle Blacklist,,Test Group 2 - Blacklisting Components,,,,,,,,,,
Bundle Blacklist,,Add component to blacklist through System Settings (UI),2a,Functional,,4,,,,,BundleBlacklist#BlacklistComponent,"1. Go to  Control Panel > Configuration > System Settings > Module Container > Component Blacklist
2. In Component Blacklist field, enter component unique name(s) to the blacklist
3. Save component blacklist configuration file
4. Verify the component is blacklisted in the console (uninstalled)
5. Assert component is STOPPED in the console"
Bundle Blacklist,,Remove component from the blacklist through System Settings (UI),2b,Manual,,3,,,,,,"2. Go to  Control Panel > Configuration > System Settings > Module Container > Component Blacklist
3. Remove component unique name from blacklist
4. Verify the component is not blacklisted in the console (installed)
5. Assert component is Reinstalling in the console
6. Assert component is STARTED in the console


Note: The component will be blacklisted again on future restart as this is a temporarily change"
Bundle Blacklist,,Add component to blacklist through OSGi configs file,2c,Manual,,4,,,,,https://issues.liferay.com/browse/LRQA-53835,"1. Start liferay portal server
2. Go to [liferay_home]/osgi/configs
3. Create configuration file
com.liferay.portal.component.blacklist.internal.ComponentBlacklistConfiguration.config
4. Open the configuration file: com.liferay.portal.component.blacklist.internal.ComponentBlacklistConfiguration.config
5. Add the component(s) symbolic names that  you want to blacklist
6. Save the configuration file
7. Verify the component is blacklisted in the console (uninstalled)
8. Assert component is STOPPED in the console"
Bundle Blacklist,,Remove component from blacklist through OSGi configs file,2d,Manual,,3,,,,,,"1. Execute 2c
2. Remove the name(s) of the component(s) you want to reinstall from the blacklist
3. Save the configuration file
4. Verify the component is not blacklisted in the console (reinstalled)
5. Assert component is Reinstalling in the console
6. Assert component is STARTED in the console"
Bundle Blacklist,,Delete component blacklist config file OSGi configs folder,2e,Manual,,3,,,,,,"1. Execute 2c
2. Delete configuration file from 2c
3. Verify the components are not blacklisted in the console (reinstalled)
4. Assert component is Reinstalling in the console
5. Assert component is STARTED in the console"
Bundle Blacklist,,Shutdown and delete component blacklist config file from OSGi configs folder,2f,Manual,,3,,,,,,"1. Execute 2c
2. Shutdown the liferay portal server
3. Delete configuration file from 2c
4. Restart the liferay portal server
5. Verify the components are not blacklisted in the console (reinstalled)
6. Assert component is Reinstalling bundle in the console
7. Assert component is STARTED in the console"
